Vehicle ID,Fuel Type,Total Annuel Fuel Cost ,,"H0: μ1-μ2 = 0 
Ha: μ1-μ2 ≠ 0",,,,,,,,
26587,Regular,1750,,,,,,,,,,
27705,Regular,1750,,,,,,,,,,
26561,Regular,1650,,Gas ,,,Hybrid/Electrical,,,t-Test: Two-Sample Assuming Unequal Variances,,
27681,Regular,1650,,Fuel Type,(Multiple Items),,Fuel Type,(Multiple Items),,,,
27550,Regular,2050,,,,,,,,,Gas,Electrical
28426,Regular,2050,,Row Labels,Sum of Total Annuel Fuel Cost ,,Row Labels,Sum of Total Annuel Fuel Cost ,,Mean,2058.875724,1033.333333
27549,Regular,2700,,1,"$1,650",,16423,$800,,Variance,505772.8743,344720.8122
28425,Regular,2700,,2,"$1,600",,16424,$900,,Observations,37980,198
27593,Regular,2050,,3,"$2,050",,17328,$900,,Hypothesized Mean Difference,0,
28455,Regular,2050,,4,"$2,050",,17329,"$1,000",,df,200,
27591,Regular,1750,,5,"$2,200",,17330,"$1,700",,t Stat,24.48487238,
27594,Regular,2050,,6,"$2,050",,17331,$900,,P(T<=t) one-tail,2.1494E-62,
28454,Regular,1750,,7,"$2,050",,18290,$850,,t Critical one-tail,1.652508101,
28456,Regular,2050,,8,"$1,850",,18291,"$1,700",,P(T<=t) two-tail,0.0000000000000000000000000000000000000000000000000000000000000430,
27592,Regular,1650,,9,"$1,950",,19296,$850,,t Critical two-tail,1.971896224,
27595,Regular,1950,,10,"$3,200",,30965,"$1,150",,,,
28457,Regular,1950,,11,"$3,200",,30966,"$1,150",,total sample size,38178,
27585,Regular,1950,,12,"$1,450",,30967,"$1,150",,mean difference,1025.542391,
27588,Regular,1950,,13,"$1,350",,30968,$800,,standard error of difference,41.88473498,
28449,Regular,1950,,14,"$1,450",,30969,"$1,750",,,,
28451,Regular,2050,,15,"$1,350",,30970,"$1,400",,confidence interval ,82.59235073,
27586,Regular,1750,,16,"$1,150",,30971,"$1,150",,lower limit,942.95004,
27589,Regular,2050,,17,"$1,200",,30972,"$1,400",,upper limit,1108.134741,
28450,Regular,1750,,18,$800,,30973,"$1,850",,,,
28452,Regular,2050,,19,"$2,500",,30974,"$1,850",,Reject the null that there is no difference between population means.,,
27587,Regular,1650,,20,"$2,500",,30975,"$1,400",,This difference is significanr at the 4.30E-62 level,,
27590,Regular,1950,,21,"$2,050",,30976,"$1,200",,"With 95% confidence, the difference is between 942.9 and 1108.1",,
28453,Regular,1950,,22,"$2,050",,30977,"$2,350",,,,
26599,Regular,3900,,23,"$2,050",,30978,$650,,,,
27716,Regular,3900,,24,"$2,350",,30979,$650,,,,
26600,Regular,3900,,25,"$1,850",,30980,"$1,850",,,,
27717,Regular,3900,,26,"$1,600",,31064,$750,,,,
26601,Regular,4350,,27,"$1,400",,31065,$750,,,,
27718,Regular,4350,,28,"$1,400",,31618,"$1,850",,,,
26607,Regular,1650,,29,"$1,950",,31673,$600,,,,
27724,Regular,1650,,30,"$1,850",,31893,"$1,050",,,,
26608,Regular,1450,,31,"$1,400",,31894,"$1,050",,,,
27725,Regular,1450,,32,"$1,350",,32154,$650,,,,
26609,Regular,1950,,33,"$2,350",,32276,$650,,,,
27726,Regular,1950,,34,"$2,350",,32277,$900,,,,
26930,Regular,2050,,35,"$1,850",,32278,$600,,,,
26931,Regular,2050,,36,$950,,32484,$700,,,,
28000,Regular,2050,,37,$850,,32516,"$3,300",,,,
28001,Regular,1950,,38,"$3,200",,32557,$750,,,,
26932,Regular,1850,,39,"$2,900",,32655,"$1,850",,,,
28002,Regular,1850,,40,"$2,500",,33024,$600,,,,
27143,Regular,2050,,41,$950,,33265,$550,,,,
28171,Regular,1950,,42,$850,,33305,$600,,,,
27144,Regular,1850,,43,$950,,33306,$600,,,,
28172,Regular,1850,,44,$850,,33307,$550,,,,
26602,Regular,2050,,45,"$1,650",,33308,$850,,,,
26604,Regular,1950,,46,"$1,500",,33335,$700,,,,
27719,Regular,2050,,47,"$4,350",,33336,$900,,,,
27721,Regular,1950,,48,"$4,350",,33337,$900,,,,
26603,Regular,1750,,49,"$4,350",,33358,$600,,,,
26605,Regular,1850,,50,"$1,950",,33367,$700,,,,
27720,Regular,1750,,51,"$1,850",,33368,$750,,,,
27722,Regular,1850,,52,"$2,050",,33383,"$1,050",,,,
26606,Regular,2200,,53,"$1,500",,33396,$550,,,,
27723,Regular,2200,,54,"$1,450",,33397,$850,,,,
26588,Regular,2200,,55,"$1,950",,33398,$900,,,,
27706,Regular,2050,,56,"$1,650",,33557,$750,,,,
26562,Regular,1600,,57,"$1,500",,33558,$550,,,,
27682,Regular,1600,,58,"$1,650",,33612,$700,,,,
26820,Regular,1950,,59,"$1,650",,33640,$550,,,,
26821,Regular,1950,,60,"$2,050",,33900,"$1,850",,,,
26933,Regular,2700,,61,"$2,050",,33905,$550,,,,
26934,Regular,2500,,62,"$1,500",,34089,$900,,,,
26610,Regular,1500,,63,"$1,850",,34130,$600,,,,
27727,Regular,1500,,64,"$1,850",,34392,$550,,,,
26612,Regular,1750,,65,"$2,050",,34393,$600,,,,
27729,Regular,1750,,66,"$2,050",,34394,$600,,,,
26611,Regular,1450,,67,"$2,050",,34425,$850,,,,
26613,Regular,1650,,68,"$1,450",,34516,$700,,,,
27728,Regular,1450,,69,"$1,350",,34662,$900,,,,
27730,Regular,1650,,70,"$1,450",,34699,$600,,,,
26797,Regular,1750,,71,"$1,750",,34770,"$2,100",,,,
26798,Regular,1950,,72,"$1,950",,34775,$750,,,,
27888,Regular,1750,,73,"$1,350",,34776,$700,,,,
27889,Regular,1950,,74,"$1,300",,34789,"$1,700",,,,
26614,Regular,1950,,75,"$1,300",,34856,"$2,900",,,,
